scenario,scenario_type,severity,stress_fraction,n_hospitalisation_shifted,n_chronic_shifted,total_predicted_cost,total_predicted_cost_change,total_predicted_cost_pct_change,mean_predicted_cost,mean_predicted_cost_change,mean_predicted_cost_pct_change
baseline,baseline,baseline,0.0,0,0,314417610.229211,0.0,0.0,3144.1761022921096,0.0,0.0
hospitalisation_mild,hospitalisation,mild,0.1,9962,0,330171344.4466188,15753734.217407823,0.050104490667438516,3301.713444466188,157.53734217407828,0.050104490667438537
hospitalisation_moderate,hospitalisation,moderate,0.2,19923,0,345935595.08882225,31517984.859611273,0.1002424286497013,3459.3559508882227,315.17984859611306,0.1002424286497014
hospitalisation_severe,hospitalisation,severe,0.3,29884,0,361551517.2396407,47133907.01042974,0.14990861032265032,3615.5151723964073,471.33907010429766,0.1499086103226504
chronic_disease_mild,chronic_disease,mild,0.1,0,9968,321342812.10783875,6925201.878627777,0.022025489836842452,3213.4281210783874,69.25201878627786,0.02202548983684248
chronic_disease_moderate,chronic_disease,moderate,0.2,0,19935,328308286.64453745,13890676.415326476,0.04417906619543399,3283.0828664453743,138.9067641532647,0.04417906619543398
chronic_disease_severe,chronic_disease,severe,0.3,0,29903,335208139.23280686,20790529.00359589,0.0661239330342838,3352.0813923280684,207.90529003595884,0.06612393303428378
combined_mild,combined,mild,0.1,9962,9968,337186463.48937094,22768853.26015997,0.07241596055501293,3371.8646348937095,227.68853260159995,0.07241596055501301
combined_moderate,combined,moderate,0.2,19923,19935,360468265.7144882,46050655.485277236,0.14646334679443124,3604.682657144882,460.5065548527723,0.1464633467944312
combined_severe,combined,severe,0.3,29884,29903,384192855.63590896,69775245.40669799,0.22191901196574745,3841.9285563590897,697.7524540669801,0.22191901196574754
