scenario,scenario_type,severity,stress_fraction,n_policyholders,n_hospitalisation_eligible,n_hospitalisation_shifted,n_chronic_eligible,n_chronic_shifted,total_predicted_cost,mean_predicted_cost,median_predicted_cost,p90_predicted_cost,tail_concentration_p90,tvar_p90,p95_predicted_cost,tail_concentration_p95,tvar_p95,p99_predicted_cost,tail_concentration_p99,tvar_p99,total_predicted_cost_change,total_predicted_cost_pct_change,mean_predicted_cost_change,mean_predicted_cost_pct_change,median_predicted_cost_change,median_predicted_cost_pct_change,p90_predicted_cost_change,p90_predicted_cost_pct_change,tail_concentration_p90_change,tail_concentration_p90_pct_change,tvar_p90_change,tvar_p90_pct_change,p95_predicted_cost_change,p95_predicted_cost_pct_change,tail_concentration_p95_change,tail_concentration_p95_pct_change,tvar_p95_change,tvar_p95_pct_change,p99_predicted_cost_change,p99_predicted_cost_pct_change,tail_concentration_p99_change,tail_concentration_p99_pct_change,tvar_p99_change,tvar_p99_pct_change
baseline,baseline,baseline,0.0,100000,0,0,0,0,314417610.229211,3144.1761022921096,2591.8023213779284,5967.870112914945,0.24937186281731583,7840.690516542707,7474.490507825569,0.14349300793654984,9023.345728002241,9946.59726771762,0.036276121434202516,11405.851409726612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hospitalisation_mild,hospitalisation,mild,0.1,100000,99613,9962,0,0,330171344.4466188,3301.713444466188,2696.1035506957505,6241.608812187259,0.2477851980177675,8181.157196349795,7735.083836903587,0.1427496690498165,9426.37002989756,10493.055949632713,0.03634205973944772,11999.106724132791,15753734.217407823,0.050104490667438516,157.53734217407828,0.050104490667438537,104.30122931782216,0.040242740913346564,273.7386992723141,0.04586874279986788,-0.0015866647995483318,-0.006362645655459079,340.46667980708844,0.043423047892115325,260.59332907801854,0.03486436016009186,-0.0007433388867333357,-0.005180314340208322,403.0243018953188,0.04466461931571671,546.4586819150936,0.054939258844696935,6.593830524520561e-05,0.0018176779280222734,593.2553144061785,0.052013242422241784
hospitalisation_moderate,hospitalisation,moderate,0.2,100000,99613,19923,0,0,345935595.08882225,3459.3559508882227,2804.201924096544,6519.023014562605,0.24543890105006436,8490.605229270057,7998.26590643811,0.1415222677564351,9791.517982928402,10927.315653321739,0.03615411010415072,12506.99359378618,31517984.859611273,0.1002424286497013,315.17984859611306,0.1002424286497014,212.39960271861582,0.08195054112216932,551.1529016476597,0.0923533674861524,-0.003932961767251469,-0.015771473665145086,649.91471272735,0.08288998416097731,523.7753986125408,0.07007506372028482,-0.001970740180114755,-0.013734050240177436,768.1722549261613,0.08513164385825142,980.7183856041192,0.09859838085403434,-0.00012201133005179665,-0.003363406153359044,1101.1421840595667,0.09654186649499409
hospitalisation_severe,hospitalisation,severe,0.3,100000,99613,29884,0,0,361551517.2396407,3615.5151723964073,2913.558918482814,6771.475203019893,0.24255461072212456,8769.598752005457,8256.007445770154,0.13987993414247615,10114.760484118655,11271.05576083743,0.035574844991096165,12862.139182095852,47133907.01042974,0.14990861032265032,471.33907010429766,0.1499086103226504,321.7565971048857,0.12414395745035996,803.6050901049484,0.13465525805695455,-0.006817252095191267,-0.027337695673330362,928.9082354627499,0.11847275868150767,781.5169379445852,0.10455788754114548,-0.00361307379407369,-0.025179441465686812,1091.4147561164136,0.12095455377814185,1324.4584931198096,0.1331569437739711,-0.0007012764431063509,-0.019331626849312524,1456.28777236924,0.12767900615708141
chronic_disease_mild,chronic_disease,mild,0.1,100000,0,0,99674,9968,321342812.10783875,3213.4281210783874,2646.588415776199,6060.543702350423,0.24746946760530428,7952.253463111818,7560.893268489843,0.1423453337547896,9148.329967838592,10084.26404996133,0.03610444454903592,11601.903740978732,6925201.878627777,0.022025489836842452,69.25201878627786,0.02202548983684248,54.78609439827051,0.02113822259760287,92.67358943547788,0.015528754426964634,-0.0019023952120115484,-0.007628748450282059,111.56294656911086,0.014228714465100926,86.40276066427396,0.011559685649986823,-0.0011476741817602332,-0.0079981191994227,124.98423983635075,0.01385120814427911,137.66678224371026,0.013840590760673248,-0.00017167688516659535,-0.004732503872498669,196.05233125211998,0.01718875024839721
chronic_disease_moderate,chronic_disease,moderate,0.2,100000,0,0,99674,19935,328308286.64453745,3283.0828664453743,2706.0606875227513,6149.7198336278225,0.24554586532070774,8061.47423360919,7661.7657385691655,0.14112445144716773,9266.46537165397,10199.091507676405,0.035808529137038574,11756.23684824213,13890676.415326476,0.04417906619543399,138.9067641532647,0.04417906619543398,114.25836614482296,0.04408452187976961,181.84972071287757,0.030471460885071935,-0.0038259974966080856,-0.015342538862978799,220.7837170664834,0.028158708292421713,187.2752307435967,0.025055250327433703,-0.002368556489382112,-0.01650642441358151,243.11964365172935,0.02694340336503495,252.49423995878533,0.025384986761077893,-0.00046759229716394207,-0.012889809568315045,350.3854385155173,0.03071979687695368
chronic_disease_severe,chronic_disease,severe,0.3,100000,0,0,99674,29903,335208139.23280686,3352.0813923280684,2766.4418277267314,6240.5837644806215,0.2435574108747567,8164.24264956874,7746.225836630131,0.13992612085116984,9380.8749201171,10348.57327345495,0.03555149086675438,11917.149100396864,20790529.00359589,0.0661239330342838,207.90529003595884,0.06612393303428378,174.63950634880302,0.0673814916007777,272.7136515656766,0.04569698173817534,-0.005814451942559112,-0.02331639133970238,323.5521330260326,0.04126577019503385,271.7353288045624,0.03635503028869508,-0.0035668870853799994,-0.02485756718513571,357.52919211485823,0.03962268574120287,401.9760057373296,0.04041341927474745,-0.000724630567448134,-0.019975414647413894,511.29769067025154,0.044827665406392214
combined_mild,combined,mild,0.1,100000,99613,9962,99674,9968,337186463.48937094,3371.8646348937095,2760.843537386467,6337.248582725111,0.24594053544493324,8292.781937535932,7822.740634548631,0.14165156616378483,9552.598128499449,10635.081277638164,0.036201869623782044,12206.78039014635,22768853.26015997,0.07241596055501293,227.68853260159995,0.07241596055501301,169.0412160085384,0.06522149263245812,369.3784698101663,0.06189452230382862,-0.003431327372382581,-0.013759881863240897,452.09142099322526,0.057659643629522,348.25012672306184,0.04659182139016089,-0.0018414417727650179,-0.012832972137424787,529.2524004972074,0.05865367641348076,688.4840099205448,0.06921804426073107,-7.425181042047119e-05,-0.002046850861803096,800.9289804197379,0.07022088502193939
combined_moderate,combined,moderate,0.2,100000,99613,19923,99674,19935,360468265.7144882,3604.682657144882,2952.734115307421,6723.45115958921,0.24159007216316583,8708.555432649444,8186.390735312811,0.1391686092910401,10033.173446607687,11237.118012153891,0.03563772050671474,12846.267305073112,46050655.485277236,0.14646334679443124,460.5065548527723,0.1464633467944312,360.9317939294924,0.1392589978612271,755.581046674265,0.12660815875317522,-0.007781790654149995,-0.03120556812718987,867.8649161067369,0.11068730672071156,711.9002274872419,0.09524398040801624,-0.004324398645509736,-0.030136650612425042,1009.8277186054456,0.11191278147213587,1290.5207444362713,0.1297449479154793,-0.0006384009274877783,-0.01759837883015436,1440.4158953464994,0.12628745050265605
combined_severe,combined,severe,0.3,100000,99613,29884,99674,29903,384192855.63590896,3841.9285563590897,3192.409342198068,7032.853593705879,0.23668145866294985,9093.132547979105,8542.43455376424,0.1363405567954298,10476.213570845202,11670.53709689494,0.034712458103820266,13336.278405048557,69775245.40669799,0.22191901196574745,697.7524540669801,0.22191901196574754,600.6070208201395,0.23173334473318458,1064.9834807909338,0.17845285849741013,-0.01269040415436598,-0.05088947891311492,1252.4420314363979,0.15973619017278248,1067.9440459386715,0.14287850721337675,-0.0071524511411200364,-0.04984529381586821,1452.8678428429612,0.1610120997951194,1723.9398291773196,0.17331955670634092,-0.0015636633303822492,-0.04310447943610553,1930.4269953219446,0.16924882904188343
