scenario,scenario_type,severity,stress_fraction,n_policyholders,n_hospitalisation_eligible,n_hospitalisation_shifted,n_chronic_eligible,n_chronic_shifted,total_predicted_cost,mean_predicted_cost,median_predicted_cost,p90_predicted_cost,tail_concentration_p90,tvar_p90,p95_predicted_cost,tail_concentration_p95,tvar_p95,p99_predicted_cost,tail_concentration_p99,tvar_p99
baseline,baseline,baseline,0.0,100000,0,0,0,0,314417610.229211,3144.1761022921096,2591.8023213779284,5967.870112914945,0.24937186281731583,7840.690516542707,7474.490507825569,0.14349300793654984,9023.345728002241,9946.59726771762,0.036276121434202516,11405.851409726612
hospitalisation_mild,hospitalisation,mild,0.1,100000,99613,9962,0,0,330171344.4466188,3301.713444466188,2696.1035506957505,6241.608812187259,0.2477851980177675,8181.157196349795,7735.083836903587,0.1427496690498165,9426.37002989756,10493.055949632713,0.03634205973944772,11999.106724132791
hospitalisation_moderate,hospitalisation,moderate,0.2,100000,99613,19923,0,0,345935595.08882225,3459.3559508882227,2804.201924096544,6519.023014562605,0.24543890105006436,8490.605229270057,7998.26590643811,0.1415222677564351,9791.517982928402,10927.315653321739,0.03615411010415072,12506.99359378618
hospitalisation_severe,hospitalisation,severe,0.3,100000,99613,29884,0,0,361551517.2396407,3615.5151723964073,2913.558918482814,6771.475203019893,0.24255461072212456,8769.598752005457,8256.007445770154,0.13987993414247615,10114.760484118655,11271.05576083743,0.035574844991096165,12862.139182095852
chronic_disease_mild,chronic_disease,mild,0.1,100000,0,0,99674,9968,321342812.10783875,3213.4281210783874,2646.588415776199,6060.543702350423,0.24746946760530428,7952.253463111818,7560.893268489843,0.1423453337547896,9148.329967838592,10084.26404996133,0.03610444454903592,11601.903740978732
chronic_disease_moderate,chronic_disease,moderate,0.2,100000,0,0,99674,19935,328308286.64453745,3283.0828664453743,2706.0606875227513,6149.7198336278225,0.24554586532070774,8061.47423360919,7661.7657385691655,0.14112445144716773,9266.46537165397,10199.091507676405,0.035808529137038574,11756.23684824213
chronic_disease_severe,chronic_disease,severe,0.3,100000,0,0,99674,29903,335208139.23280686,3352.0813923280684,2766.4418277267314,6240.5837644806215,0.2435574108747567,8164.24264956874,7746.225836630131,0.13992612085116984,9380.8749201171,10348.57327345495,0.03555149086675438,11917.149100396864
combined_mild,combined,mild,0.1,100000,99613,9962,99674,9968,337186463.48937094,3371.8646348937095,2760.843537386467,6337.248582725111,0.24594053544493324,8292.781937535932,7822.740634548631,0.14165156616378483,9552.598128499449,10635.081277638164,0.036201869623782044,12206.78039014635
combined_moderate,combined,moderate,0.2,100000,99613,19923,99674,19935,360468265.7144882,3604.682657144882,2952.734115307421,6723.45115958921,0.24159007216316583,8708.555432649444,8186.390735312811,0.1391686092910401,10033.173446607687,11237.118012153891,0.03563772050671474,12846.267305073112
combined_severe,combined,severe,0.3,100000,99613,29884,99674,29903,384192855.63590896,3841.9285563590897,3192.409342198068,7032.853593705879,0.23668145866294985,9093.132547979105,8542.43455376424,0.1363405567954298,10476.213570845202,11670.53709689494,0.034712458103820266,13336.278405048557
