scenario,scenario_type,severity,stress_fraction,p90_predicted_cost,p90_predicted_cost_change,p95_predicted_cost,p95_predicted_cost_change,p99_predicted_cost,p99_predicted_cost_change,tail_concentration_p95,tail_concentration_p95_change,tvar_p95,tvar_p95_change,tvar_p99,tvar_p99_change
baseline,baseline,baseline,0.0,5967.870112914945,0.0,7474.490507825569,0.0,9946.59726771762,0.0,0.14349300793654984,0.0,9023.345728002241,0.0,11405.851409726612,0.0
hospitalisation_mild,hospitalisation,mild,0.1,6241.608812187259,273.7386992723141,7735.083836903587,260.59332907801854,10493.055949632713,546.4586819150936,0.1427496690498165,-0.0007433388867333357,9426.37002989756,403.0243018953188,11999.106724132791,593.2553144061785
hospitalisation_moderate,hospitalisation,moderate,0.2,6519.023014562605,551.1529016476597,7998.26590643811,523.7753986125408,10927.315653321739,980.7183856041192,0.1415222677564351,-0.001970740180114755,9791.517982928402,768.1722549261613,12506.99359378618,1101.1421840595667
hospitalisation_severe,hospitalisation,severe,0.3,6771.475203019893,803.6050901049484,8256.007445770154,781.5169379445852,11271.05576083743,1324.4584931198096,0.13987993414247615,-0.00361307379407369,10114.760484118655,1091.4147561164136,12862.139182095852,1456.28777236924
chronic_disease_mild,chronic_disease,mild,0.1,6060.543702350423,92.67358943547788,7560.893268489843,86.40276066427396,10084.26404996133,137.66678224371026,0.1423453337547896,-0.0011476741817602332,9148.329967838592,124.98423983635075,11601.903740978732,196.05233125211998
chronic_disease_moderate,chronic_disease,moderate,0.2,6149.7198336278225,181.84972071287757,7661.7657385691655,187.2752307435967,10199.091507676405,252.49423995878533,0.14112445144716773,-0.002368556489382112,9266.46537165397,243.11964365172935,11756.23684824213,350.3854385155173
chronic_disease_severe,chronic_disease,severe,0.3,6240.5837644806215,272.7136515656766,7746.225836630131,271.7353288045624,10348.57327345495,401.9760057373296,0.13992612085116984,-0.0035668870853799994,9380.8749201171,357.52919211485823,11917.149100396864,511.29769067025154
combined_mild,combined,mild,0.1,6337.248582725111,369.3784698101663,7822.740634548631,348.25012672306184,10635.081277638164,688.4840099205448,0.14165156616378483,-0.0018414417727650179,9552.598128499449,529.2524004972074,12206.78039014635,800.9289804197379
combined_moderate,combined,moderate,0.2,6723.45115958921,755.581046674265,8186.390735312811,711.9002274872419,11237.118012153891,1290.5207444362713,0.1391686092910401,-0.004324398645509736,10033.173446607687,1009.8277186054456,12846.267305073112,1440.4158953464994
combined_severe,combined,severe,0.3,7032.853593705879,1064.9834807909338,8542.43455376424,1067.9440459386715,11670.53709689494,1723.9398291773196,0.1363405567954298,-0.0071524511411200364,10476.213570845202,1452.8678428429612,13336.278405048557,1930.4269953219446
