model_name,model_family,is_quantile_model,tail_level,quantile,actual_threshold,predicted_threshold,threshold_underprediction,upper_tail_MAE,actual_tvar,predicted_distribution_tvar,predicted_actual_tail_mean,distribution_tvar_underprediction,actual_tail_tvar_underprediction,actual_tail_concentration,predicted_distribution_tail_concentration,predicted_actual_tail_concentration,distribution_tail_concentration_error,actual_tail_concentration_error
ridge_baseline_grouped,ridge,False,p90,0.9,6324.061000000004,3547.0301622430784,2777.030837756926,6919.098971111237,10157.195509999998,4673.99043975078,3259.5954016259893,5483.205070249218,6897.600108374008,0.3354655251952486,0.20556801731081564,0.1433611327590638,0.12989750788443294,0.1921043924361848
ridge_baseline_grouped,ridge,False,p95,0.95,8695.57,4284.356001545254,4411.213998454746,9432.332027946752,12989.41616,5485.064617529021,3566.625917328758,7504.351542470979,9422.790242671243,0.21450317215042217,0.12062004327797365,0.07843236178653114,0.09388312887244851,0.13607081036389101
ridge_baseline_grouped,ridge,False,p99,0.99,15189.614399999979,6317.470338635288,8872.144061364692,17030.931017959585,21199.224050000004,7622.644622306199,4168.293032040416,13576.579427693805,17030.93101795959,0.07001547644390077,0.033525356157039735,0.01833268050528416,0.036490120286861036,0.05168279593861661
ridge_tail_weighted,ridge,False,p90,0.9,6324.061000000004,5634.984701802061,689.0762981979433,5628.40302366011,10157.195509999998,8396.688844275714,5268.274447920431,1760.5066657242842,4888.921062079567,0.3354655251952486,0.26419009431881885,0.16575890200365986,0.07127543087642974,0.16970662319158872
ridge_tail_weighted,ridge,False,p95,0.95,8695.57,7283.170942365796,1412.399057634204,7659.425066657935,12989.41616,10451.23359162969,5993.704883851145,2538.18256837031,6995.711276148856,0.21450317215042217,0.16441673852205402,0.09429177905427003,0.05008643362836815,0.12021139309615214
ridge_tail_weighted,ridge,False,p99,0.99,15189.614399999979,12440.874661322607,2748.739738677372,13955.531930023486,21199.224050000004,16391.014173934007,7346.923466733857,4808.209876065997,13852.300583266147,0.07001547644390077,0.05157203822724542,0.023116069198548323,0.018443438216655353,0.04689940724535245
gb_baseline_grouped,gradient_boosting,False,p90,0.9,6324.061000000004,3606.410146538077,2717.6508534619275,7013.803818147276,10157.195509999998,4376.062263176894,3143.650281502085,5781.133246823104,7013.545228497913,0.3354655251952486,0.19346947936439277,0.13898348485206408,0.14199604583085582,0.1964820403431845
gb_baseline_grouped,gradient_boosting,False,p95,0.95,8695.57,4220.230036614937,4475.339963385063,9603.504907557965,12989.41616,4865.438560731863,3385.9112524420343,8123.977599268138,9603.504907557966,0.21450317215042217,0.10755261335574182,0.07484702545210557,0.10695055879468035,0.1396561466983166
gb_baseline_grouped,gradient_boosting,False,p99,0.99,15189.614399999979,5242.378167614956,9947.236232385023,17383.554981478013,21199.224050000004,5829.258752442808,3815.6690685219864,15369.965297557195,17383.554981478017,0.07001547644390077,0.025771654699828277,0.016869401386849628,0.044243821744072494,0.05314607505705114
gb_regularised_grouped,gradient_boosting,False,p90,0.9,6324.061000000004,3610.7687648394335,2713.2922351605707,7007.857133081263,10157.195509999998,4362.519862256466,3150.435331838601,5794.675647743532,7006.760178161397,0.3354655251952486,0.19286679094469142,0.13928059280312438,0.14259873425055716,0.1961849323921242
gb_regularised_grouped,gradient_boosting,False,p95,0.95,8695.57,4165.1012899595125,4530.468710040487,9593.862356688682,12989.41616,4853.719025902301,3395.553803311317,8135.6971340977,9593.862356688684,0.21450317215042217,0.10729134104031013,0.07505863425295228,0.10721183111011204,0.13944453789746988
gb_regularised_grouped,gradient_boosting,False,p99,0.99,15189.614399999979,5275.031005005005,9914.583394994974,17352.05423185306,21199.224050000004,5970.093300354522,3847.1698181469387,15229.130749645483,17352.054231853064,0.07001547644390077,0.026393753446069416,0.017008319055801052,0.043621722997831354,0.05300715738809972
gb_tail_weighted,gradient_boosting,False,p90,0.9,6324.061000000004,5963.5508036643705,360.51019633563374,5453.182916454302,10157.195509999998,7805.5902377519,4978.012733863567,2351.605272248098,5179.182776136431,0.3354655251952486,0.2484612248937178,0.15845606849950297,0.08700430030153078,0.1770094566957456
gb_tail_weighted,gradient_boosting,False,p95,0.95,8695.57,7516.122756640551,1179.4472433594483,7576.114877038637,12989.41616,8926.169605623825,5512.940720317425,4063.2465543761755,7476.475439682576,0.21450317215042217,0.1420652997575955,0.08774173140114942,0.07243787239282667,0.12676144074927276
gb_tail_weighted,gradient_boosting,False,p99,0.99,15189.614399999979,9735.91151836598,5453.702881633999,14745.705109461218,21199.224050000004,11074.327618655749,6453.518940538784,10124.896431344256,14745.705109461222,0.07001547644390077,0.035250902509558486,0.0205423186716356,0.034764573934342284,0.04947315777226517
gb_quantile_p90,gradient_boosting_quantile,True,p90,0.9,6324.061000000004,9311.500457689215,-2987.439457689211,3625.083921380809,10157.195509999998,11326.129748248868,8141.286755750823,-1168.9342382488703,2015.9087542491743,0.3354655251952486,0.19263019841731424,0.13846368688960162,0.14283532677793434,0.19700183830564696
gb_quantile_p90,gradient_boosting_quantile,True,p95,0.95,8695.57,10942.237127547662,-2246.667127547662,5058.605019255413,12989.41616,12581.844025926355,8760.473401403517,407.57213407364543,4228.942758596484,0.21450317215042217,0.10699343752196609,0.07449728049437507,0.10750973462845607,0.1400058916560471
gb_quantile_p90,gradient_boosting_quantile,True,p99,0.99,15189.614399999979,13614.498785563017,1575.1156144369616,11343.959188398301,21199.224050000004,15084.82952267007,9875.25040964474,6114.394527329934,11323.973640355265,0.07001547644390077,0.025655663219755712,0.016795423398046804,0.04435981322414506,0.05322005304585396
gb_quantile_p95,gradient_boosting_quantile,True,p90,0.9,6324.061000000004,12095.974610047464,-5771.91361004746,3904.9057740426188,10157.195509999998,14896.614002609438,10738.249480815117,-4739.41849260944,-581.0539708151191,0.3354655251952486,0.19281993738729417,0.138994579048448,0.14264558780795442,0.19647094614680058
