scenario,scenario_type,severity,stress_fraction,n_hospitalisation_shifted,n_chronic_shifted,total_predicted_cost,total_predicted_cost_change,total_predicted_cost_pct_change_percent,mean_predicted_cost,mean_predicted_cost_change,mean_predicted_cost_pct_change_percent
baseline,baseline,baseline,0.0,0,0,314417610.229211,0.0,0.0,3144.1761022921096,0.0,0.0
hospitalisation_mild,hospitalisation,mild,0.1,9962,0,330171344.4466188,15753734.217407824,5.01044906674385,3301.713444466188,157.53734217407828,5.01044906674385
hospitalisation_moderate,hospitalisation,moderate,0.2,19923,0,345935595.08882225,31517984.859611277,10.02424286497013,3459.3559508882227,315.17984859611306,10.02424286497014
hospitalisation_severe,hospitalisation,severe,0.3,29884,0,361551517.2396407,47133907.01042974,14.990861032265029,3615.5151723964073,471.33907010429766,14.990861032265041
chronic_disease_mild,chronic_disease,mild,0.1,0,9968,321342812.10783875,6925201.878627777,2.20254898368424,3213.4281210783874,69.25201878627786,2.20254898368424
chronic_disease_moderate,chronic_disease,moderate,0.2,0,19935,328308286.64453745,13890676.415326476,4.41790661954339,3283.0828664453743,138.9067641532647,4.41790661954339
chronic_disease_severe,chronic_disease,severe,0.3,0,29903,335208139.23280686,20790529.00359589,6.612393303428379,3352.0813923280684,207.90529003595884,6.6123933034283695
combined_mild,combined,mild,0.1,9962,9968,337186463.48937094,22768853.26015997,7.24159605550129,3371.864634893709,227.68853260159997,7.2415960555013
combined_moderate,combined,moderate,0.2,19923,19935,360468265.7144882,46050655.48527724,14.646334679443122,3604.682657144882,460.5065548527723,14.646334679443122
combined_severe,combined,severe,0.3,29884,29903,384192855.63590896,69775245.40669799,22.19190119657474,3841.9285563590897,697.7524540669801,22.19190119657475
